Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2023-04-02 06:30:59.329,10804.0,294.0,8,100.0,False,0,car,0 days 00:00:00.071000,0 days 02:29:57.507000
2023-04-02 06:30:59.529,10847.0,296.0,8,100.0,False,0,car,0 days 00:00:00.271000,0 days 02:29:57.707000
2023-04-02 06:30:59.769,10880.0,297.0,8,100.0,False,0,car,0 days 00:00:00.511000,0 days 02:29:57.947000
2023-04-02 06:30:59.929,10885.0,297.0,8,100.0,False,0,car,0 days 00:00:00.671000,0 days 02:29:58.107000
2023-04-02 06:31:00.289,10992.0,298.0,8,100.0,False,0,car,0 days 00:00:01.031000,0 days 02:29:58.467000
2023-04-02 06:31:00.529,10992.0,300.0,8,100.0,False,0,car,0 days 00:00:01.271000,0 days 02:29:58.707000
2023-04-02 06:31:00.809,10992.0,300.0,8,100.0,False,0,car,0 days 00:00:01.551000,0 days 02:29:58.987000
2023-04-02 06:31:01.129,10992.0,301.0,8,100.0,False,0,car,0 days 00:00:01.871000,0 days 02:29:59.307000
2023-04-02 06:31:01.449,10960.0,299.0,8,100.0,False,0,car,0 days 00:00:02.191000,0 days 02:29:59.627000
2023-04-02 06:31:01.648,10889.0,297.0,8,100.0,False,0,car,0 days 00:00:02.390000,0 days 02:29:59.826000
2023-04-02 06:31:01.848,10863.0,297.0,8,100.0,False,0,car,0 days 00:00:02.590000,0 days 02:30:00.026000
2023-04-02 06:31:02.088,10821.0,295.0,8,100.0,False,0,car,0 days 00:00:02.830000,0 days 02:30:00.266000
2023-04-02 06:31:02.248,10819.0,295.0,8,99.0,False,0,car,0 days 00:00:02.990000,0 days 02:30:00.426000
2023-04-02 06:31:02.448,10736.0,293.0,8,49.0,True,0,car,0 days 00:00:03.190000,0 days 02:30:00.626000
2023-04-02 06:31:02.808,9094.0,262.0,8,0.0,True,0,car,0 days 00:00:03.550000,0 days 02:30:00.986000
2023-04-02 06:31:02.968,9244.0,224.0,8,0.0,True,0,car,0 days 00:00:03.710000,0 days 02:30:01.146000
2023-04-02 06:31:03.128,9163.0,213.0,8,0.0,True,0,car,0 days 00:00:03.870000,0 days 02:30:01.306000
2023-04-02 06:31:03.288,9517.0,197.0,8,0.0,True,0,car,0 days 00:00:04.030000,0 days 02:30:01.466000
2023-04-02 06:31:03.608,9728.0,184.0,6,1.0,True,0,car,0 days 00:00:04.350000,0 days 02:30:01.786000
2023-04-02 06:31:04.369,9371.0,171.0,5,73.0,False,0,car,0 days 00:00:05.111000,0 days 02:30:02.547000
2023-04-02 06:31:04.849,9904.0,179.0,5,86.0,False,0,car,0 days 00:00:05.591000,0 days 02:30:03.027000
2023-04-02 06:31:05.089,10388.0,189.0,5,100.0,False,0,car,0 days 00:00:05.831000,0 days 02:30:03.267000
2023-04-02 06:31:05.449,10653.0,201.0,5,100.0,False,0,car,0 days 00:00:06.191000,0 days 02:30:03.627000
2023-04-02 06:31:05.649,11328.0,205.0,5,100.0,False,0,car,0 days 00:00:06.391000,0 days 02:30:03.827000
2023-04-02 06:31:06.009,11721.0,211.0,5,100.0,False,0,car,0 days 00:00:06.751000,0 days 02:30:04.187000
2023-04-02 06:31:06.209,11403.0,218.0,5,100.0,False,0,car,0 days 00:00:06.951000,0 days 02:30:04.387000
2023-04-02 06:31:06.489,10753.0,225.0,6,100.0,False,0,car,0 days 00:00:07.231000,0 days 02:30:04.667000
2023-04-02 06:31:06.969,11165.0,235.0,6,100.0,False,0,car,0 days 00:00:07.711000,0 days 02:30:05.147000
2023-04-02 06:31:07.369,11503.0,244.0,6,100.0,False,0,car,0 days 00:00:08.111000,0 days 02:30:05.547000
2023-04-02 06:31:07.649,11696.0,248.0,6,100.0,False,0,car,0 days 00:00:08.391000,0 days 02:30:05.827000
2023-04-02 06:31:08.009,10505.0,250.0,7,100.0,False,0,car,0 days 00:00:08.751000,0 days 02:30:06.187000
2023-04-02 06:31:08.368,10682.0,258.0,7,100.0,False,0,car,0 days 00:00:09.110000,0 days 02:30:06.546000
2023-04-02 06:31:08.768,10985.0,266.0,7,100.0,False,0,car,0 days 00:00:09.510000,0 days 02:30:06.946000
2023-04-02 06:31:09.208,11186.0,271.0,7,100.0,False,0,car,0 days 00:00:09.950000,0 days 02:30:07.386000
2023-04-02 06:31:09.408,11280.0,273.0,7,100.0,False,0,car,0 days 00:00:10.150000,0 days 02:30:07.586000
2023-04-02 06:31:09.648,11389.0,275.0,7,100.0,False,0,car,0 days 00:00:10.390000,0 days 02:30:07.826000
2023-04-02 06:31:09.808,11454.0,275.0,7,100.0,False,0,car,0 days 00:00:10.550000,0 days 02:30:07.986000
2023-04-02 06:31:09.968,11502.0,277.0,7,100.0,False,0,car,0 days 00:00:10.710000,0 days 02:30:08.146000
2023-04-02 06:31:10.168,11560.0,280.0,7,100.0,False,0,car,0 days 00:00:10.910000,0 days 02:30:08.346000
2023-04-02 06:31:10.408,11068.0,281.0,7,100.0,False,0,car,0 days 00:00:11.150000,0 days 02:30:08.586000
2023-04-02 06:31:10.688,10446.0,284.0,8,100.0,False,0,car,0 days 00:00:11.430000,0 days 02:30:08.866000
2023-04-02 06:31:10.849,10493.0,284.0,8,100.0,False,0,car,0 days 00:00:11.591000,0 days 02:30:09.027000
2023-04-02 06:31:11.009,10545.0,286.0,8,100.0,False,0,car,0 days 00:00:11.751000,0 days 02:30:09.187000
2023-04-02 06:31:11.289,10600.0,287.0,8,100.0,False,0,car,0 days 00:00:12.031000,0 days 02:30:09.467000
2023-04-02 06:31:11.449,10613.0,288.0,8,100.0,False,0,car,0 days 00:00:12.191000,0 days 02:30:09.627000
2023-04-02 06:31:11.609,10613.0,288.0,8,100.0,False,0,car,0 days 00:00:12.351000,0 days 02:30:09.787000
2023-04-02 06:31:11.969,10535.0,287.0,8,100.0,False,0,car,0 days 00:00:12.711000,0 days 02:30:10.147000
2023-04-02 06:31:12.129,10493.0,287.0,8,100.0,False,0,car,0 days 00:00:12.871000,0 days 02:30:10.307000
2023-04-02 06:31:12.289,10509.0,286.0,8,100.0,False,0,car,0 days 00:00:13.031000,0 days 02:30:10.467000
2023-04-02 06:31:12.609,10448.0,286.0,8,100.0,False,0,car,0 days 00:00:13.351000,0 days 02:30:10.787000
2023-04-02 06:31:12.889,10322.0,281.0,8,1.0,True,0,car,0 days 00:00:13.631000,0 days 02:30:11.067000
2023-04-02 06:31:13.049,9738.0,268.0,8,0.0,True,0,car,0 days 00:00:13.791000,0 days 02:30:11.227000
2023-04-02 06:31:13.249,8618.0,254.0,8,0.0,True,0,car,0 days 00:00:13.991000,0 days 02:30:11.427000
2023-04-02 06:31:13.489,7741.0,198.0,8,0.0,True,0,car,0 days 00:00:14.231000,0 days 02:30:11.667000
2023-04-02 06:31:13.689,7808.0,180.0,8,0.0,True,0,car,0 days 00:00:14.431000,0 days 02:30:11.867000
2023-04-02 06:31:14.049,7801.0,153.0,6,0.0,True,0,car,0 days 00:00:14.791000,0 days 02:30:12.227000
2023-04-02 06:31:14.209,8291.0,141.0,5,0.0,True,0,car,0 days 00:00:14.951000,0 days 02:30:12.387000
2023-04-02 06:31:14.409,9034.0,141.0,5,0.0,True,0,car,0 days 00:00:15.151000,0 days 02:30:12.587000
2023-04-02 06:31:14.649,8871.0,124.0,4,0.0,True,0,car,0 days 00:00:15.391000,0 days 02:30:12.827000
2023-04-02 06:31:14.889,8276.0,117.0,3,0.0,True,0,car,0 days 00:00:15.631000,0 days 02:30:13.067000
2023-04-02 06:31:15.168,7986.0,110.0,3,0.0,True,0,car,0 days 00:00:15.910000,0 days 02:30:13.346000
2023-04-02 06:31:15.408,7609.0,107.0,3,0.0,False,0,car,0 days 00:00:16.150000,0 days 02:30:13.586000
2023-04-02 06:31:15.728,7194.0,105.0,3,5.0,False,0,car,0 days 00:00:16.470000,0 days 02:30:13.906000
2023-04-02 06:31:16.088,7705.0,101.0,3,37.0,False,0,car,0 days 00:00:16.830000,0 days 02:30:14.266000
2023-04-02 06:31:16.248,7785.0,102.0,3,41.0,False,0,car,0 days 00:00:16.990000,0 days 02:30:14.426000
2023-04-02 06:31:16.488,8359.0,106.0,3,50.0,False,0,car,0 days 00:00:17.230000,0 days 02:30:14.666000
