Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2023-04-02 06:30:51.769,11454.0,294.0,7,100.0,False,0,car,0 days 00:00:00.136000,0 days 02:29:49.947000
2023-04-02 06:30:52.089,10648.0,296.0,8,100.0,False,0,car,0 days 00:00:00.456000,0 days 02:29:50.267000
2023-04-02 06:30:52.289,10604.0,296.0,8,100.0,False,0,car,0 days 00:00:00.656000,0 days 02:29:50.467000
2023-04-02 06:30:52.729,10500.0,298.0,8,100.0,False,0,car,0 days 00:00:01.096000,0 days 02:29:50.907000
2023-04-02 06:30:53.169,10465.0,296.0,8,100.0,False,0,car,0 days 00:00:01.536000,0 days 02:29:51.347000
2023-04-02 06:30:53.529,10453.0,295.0,8,100.0,False,0,car,0 days 00:00:01.896000,0 days 02:29:51.707000
2023-04-02 06:30:53.689,10476.0,294.0,8,100.0,False,0,car,0 days 00:00:02.056000,0 days 02:29:51.867000
2023-04-02 06:30:54.009,10384.0,293.0,8,100.0,False,0,car,0 days 00:00:02.376000,0 days 02:29:52.187000
2023-04-02 06:30:54.169,10310.0,292.0,8,100.0,False,0,car,0 days 00:00:02.536000,0 days 02:29:52.347000
2023-04-02 06:30:54.449,10293.0,291.0,8,100.0,False,0,car,0 days 00:00:02.816000,0 days 02:29:52.627000
2023-04-02 06:30:54.888,9716.0,285.0,8,0.0,True,0,car,0 days 00:00:03.255000,0 days 02:29:53.066000
2023-04-02 06:30:55.048,9263.0,264.0,8,0.0,True,0,car,0 days 00:00:03.415000,0 days 02:29:53.226000
2023-04-02 06:30:55.248,9341.0,244.0,8,0.0,True,0,car,0 days 00:00:03.615000,0 days 02:29:53.426000
2023-04-02 06:30:55.608,10317.0,214.0,8,0.0,True,0,car,0 days 00:00:03.975000,0 days 02:29:53.786000
2023-04-02 06:30:55.968,10749.0,186.0,5,0.0,True,0,car,0 days 00:00:04.335000,0 days 02:29:54.146000
2023-04-02 06:30:56.368,10443.0,175.0,4,6.0,True,0,car,0 days 00:00:04.735000,0 days 02:29:54.546000
2023-04-02 06:30:56.568,10383.0,170.0,4,47.0,False,0,car,0 days 00:00:04.935000,0 days 02:29:54.746000
2023-04-02 06:30:56.928,10855.0,173.0,4,73.0,False,0,car,0 days 00:00:05.295000,0 days 02:29:55.106000
2023-04-02 06:30:57.248,11597.0,181.0,4,96.0,False,0,car,0 days 00:00:05.615000,0 days 02:29:55.426000
2023-04-02 06:30:57.448,10197.0,186.0,4,100.0,False,0,car,0 days 00:00:05.815000,0 days 02:29:55.626000
2023-04-02 06:30:57.809,10740.0,194.0,5,100.0,False,0,car,0 days 00:00:06.176000,0 days 02:29:55.987000
2023-04-02 06:30:58.009,10768.0,204.0,5,100.0,False,0,car,0 days 00:00:06.376000,0 days 02:29:56.187000
2023-04-02 06:30:58.289,11173.0,212.0,5,100.0,False,0,car,0 days 00:00:06.656000,0 days 02:29:56.467000
2023-04-02 06:30:58.609,11488.0,220.0,5,100.0,False,0,car,0 days 00:00:06.976000,0 days 02:29:56.787000
2023-04-02 06:30:58.809,11610.0,225.0,5,100.0,False,0,car,0 days 00:00:07.176000,0 days 02:29:56.987000
2023-04-02 06:30:59.049,10545.0,231.0,6,100.0,False,0,car,0 days 00:00:07.416000,0 days 02:29:57.227000
2023-04-02 06:30:59.329,10702.0,233.0,6,100.0,False,0,car,0 days 00:00:07.696000,0 days 02:29:57.507000
2023-04-02 06:30:59.529,10850.0,238.0,6,100.0,False,0,car,0 days 00:00:07.896000,0 days 02:29:57.707000
2023-04-02 06:30:59.769,11101.0,244.0,6,100.0,False,0,car,0 days 00:00:08.136000,0 days 02:29:57.947000
2023-04-02 06:30:59.929,11101.0,246.0,6,100.0,False,0,car,0 days 00:00:08.296000,0 days 02:29:58.107000
2023-04-02 06:31:00.289,11346.0,252.0,6,100.0,False,0,car,0 days 00:00:08.656000,0 days 02:29:58.467000
2023-04-02 06:31:00.529,11463.0,256.0,6,100.0,False,0,car,0 days 00:00:08.896000,0 days 02:29:58.707000
2023-04-02 06:31:00.809,10962.0,260.0,6,100.0,False,0,car,0 days 00:00:09.176000,0 days 02:29:58.987000
2023-04-02 06:31:01.129,10628.0,264.0,7,100.0,False,0,car,0 days 00:00:09.496000,0 days 02:29:59.307000
2023-04-02 06:31:01.449,10695.0,269.0,7,100.0,False,0,car,0 days 00:00:09.816000,0 days 02:29:59.627000
2023-04-02 06:31:01.648,10795.0,272.0,7,100.0,False,0,car,0 days 00:00:10.015000,0 days 02:29:59.826000
2023-04-02 06:31:01.848,10844.0,273.0,7,100.0,False,0,car,0 days 00:00:10.215000,0 days 02:30:00.026000
2023-04-02 06:31:02.088,10939.0,275.0,7,100.0,False,0,car,0 days 00:00:10.455000,0 days 02:30:00.266000
2023-04-02 06:31:02.248,10999.0,277.0,7,100.0,False,0,car,0 days 00:00:10.615000,0 days 02:30:00.426000
2023-04-02 06:31:02.448,11114.0,280.0,7,100.0,False,0,car,0 days 00:00:10.815000,0 days 02:30:00.626000
2023-04-02 06:31:02.808,11226.0,282.0,7,100.0,False,0,car,0 days 00:00:11.175000,0 days 02:30:00.986000
2023-04-02 06:31:02.968,11198.0,283.0,7,100.0,False,0,car,0 days 00:00:11.335000,0 days 02:30:01.146000
2023-04-02 06:31:03.128,11308.0,284.0,7,100.0,False,0,car,0 days 00:00:11.495000,0 days 02:30:01.306000
2023-04-02 06:31:03.288,11302.0,286.0,7,100.0,False,0,car,0 days 00:00:11.655000,0 days 02:30:01.466000
2023-04-02 06:31:03.608,11206.0,287.0,7,100.0,False,0,car,0 days 00:00:11.975000,0 days 02:30:01.786000
2023-04-02 06:31:04.369,11178.0,284.0,7,100.0,False,0,car,0 days 00:00:12.736000,0 days 02:30:02.547000
2023-04-02 06:31:04.849,11153.0,282.0,7,100.0,False,0,car,0 days 00:00:13.216000,0 days 02:30:03.027000
2023-04-02 06:31:05.089,11061.0,282.0,7,100.0,False,0,car,0 days 00:00:13.456000,0 days 02:30:03.267000
2023-04-02 06:31:05.449,9969.0,259.0,7,0.0,True,0,car,0 days 00:00:13.816000,0 days 02:30:03.627000
2023-04-02 06:31:05.649,10493.0,237.0,7,0.0,True,0,car,0 days 00:00:14.016000,0 days 02:30:03.827000
2023-04-02 06:31:06.009,10770.0,205.0,7,0.0,True,0,car,0 days 00:00:14.376000,0 days 02:30:04.187000
2023-04-02 06:31:06.209,10597.0,186.0,5,0.0,True,0,car,0 days 00:00:14.576000,0 days 02:30:04.387000
